"tutorial.fight","憑依に成功したらモンスターと戦え！
【操作方法】


　
　　　　　　　","Hijack succeeded - now fight!
[CONTROLS]



"
"tutorial.fight_ctrl_left","移動

攻撃

スキル","Move

Attack

Skill"
"tutorial.fight_ctrl_right","憑依

回避","Hijack

Dodge"
"tutorial.rank","【ランク】
モンスターのHPバーに
表示されているアイコンが
モンスターのランクを表している。

　　　　　　　","[RANK]
The icon shown on a
monster's HP bar
tells you its rank.

"
"tutorial.rank_left","Aランク　　　　　　

Cランク　　　　　　　","Rank A

Rank C"
"tutorial.rank_right","Bランク　　　　　　

Dランク　　　　　　　","Rank B

Rank D"
"tutorial.stun","A～Cランクモンスターは
気絶させることで憑依できる。
気絶させるには攻撃してHPを削るか
スタントラップで気絶させることができる。




","Rank A-C monsters can only be
hijacked after you knock them out.
Wear down their HP with attacks,
or use a stun trap to stun them.




"
"tutorial.items","【回復アイテム】
落ちているアイテムに触れると即時回復。

ハート　HP50回復
(憑依状態のみ)　
　
時計　　10秒回復
(幽霊状態のみ)　

","[RECOVERY ITEMS]
Touch an item on the ground to heal at once.

Heart  Restores 50 HP
(only while hijacking)  
  
Clock  Adds 10 seconds
(only while a ghost)  

"
"# --- Hijack skill descriptions ---","",""
"skill.bloodsucking.desc","HP吸収","Drains HP"
"skill.buff.desc","攻撃力とスピードを10秒アップ","Attack and speed up for 10s"
"skill.magicsphere.desc","魔法弾を発射する","Fires a magic bolt"
"skill.poison.desc","敵を毒状態にする","Poisons the enemy"
"skill.tripleslash.desc","斬撃を3つ飛ばす","Fires three slashes"
"skill.invisible.desc","5秒間透明、攻撃速度バフがつく","Invisible for 5s, attack speed up"
"skill.thread.desc","敵のスピードを90%ダウン","Cuts enemy speed by 90%"
"skill.charge.desc","敵を出血状態にする","Makes the enemy bleed"
"# --- Language switch button (title) ---","",""
"lang.switch_to","English","日本語"
"lang.button","言語","Language"
"lang.current","日本語","English"
"# --- Pause menu ---","",""
"ui.pause.title","ポーズ","PAUSE"
"ui.pause.continue","つづける","Continue"
"ui.pause.restart","リスタート","Restart"
"ui.pause.settings","設定","Setting"
"ui.pause.giveup","あきらめる","Give Up"
"# --- Game over ---","",""
"ui.gameover.title","ゲームオーバー","GAME OVER"
"ui.gameover.continue","コンティニュー？","Continue?"
"ui.gameover.restart","リスタート","Restart"
"ui.gameover.title_button","タイトルへ","Title"
"# --- Stage clear ---","",""
"ui.clear.title","ステージクリア！","STAGE CLEAR!"
"ui.clear.restart","リスタート","Restart"
"ui.clear.title_button","タイトルへ","Title"
"# --- Settings popup ---","",""
"ui.settings.title","設定","Settings"
"ui.settings.bgm","BGM","BGM"
"ui.settings.se","SE","SE"
"ui.settings.back","戻る","Back"
"# --- HUD misc ---","",""
"hud.gamestart","ゲームスタート！","Game Start!"
"hud.bosshp","ボスHP:","BossHP:"
"hud.rank","ランク:","Rank:"
"tutorial.skip","スキップ>>","Skip>>"
"tutorial.skip_confirm","スキップしますか？","Skip the tutorial?"
"tutorial.skip_yes","はい","Yes"
"tutorial.skip_no","いいえ","No"
"# --- Hijack QTE ---","",""
"qte.hint.keyboard","スペースキー！","Press Space!"
"qte.hint.gamepad","Bボタン！","Press B!"
"qte.success","成功！","SUCCESS!"
"qte.fail","失敗！","FAILED!"
"# --- Hijack skill names ---","",""
"skill.bloodsucking.name","吸血","Bloodsucking"
"skill.buff.name","強化","Buff"
"skill.magicsphere.name","魔法弾","MagicSphere"
"skill.poison.name","毒胞子","Poison"
"skill.tripleslash.name","三連斬","TripleSlash"
"skill.invisible.name","透明化","Invisible"
"skill.thread.name","蜘蛛の糸","Thread"
"skill.charge.name","突進","Charge"
